cpu_times-user,cpu_times-system,cpu_times-children_user,cpu_times-children_system,cpu_times-iowait,memory_full_info-rss,memory_full_info-vms,memory_full_info-shared,memory_full_info-text,memory_full_info-lib,memory_full_info-data,memory_full_info-dirty,memory_full_info-uss,memory_full_info-pss,memory_full_info-swap,memory_percent,cpu_percent
9.21,0.42,0.0,0.0,0.0,1896087552,1956003840,6160384,2818048,0,1940897792,0,1201987584,1202681856,0,11.560366825479198,93.2
9.3,0.42,0.0,0.0,0.0,1916665856,1972781056,6160384,2818048,0,1957675008,0,1205981184,1206662144,0,11.685831887804667,83.9
9.39,0.43,0.0,0.0,0.0,1937637376,1989558272,6160384,2818048,0,1974452224,0,1289379840,1290077184,0,11.813694371703233,92.6
9.48,0.44,0.0,0.0,0.0,1959264256,2007384064,6160384,2818048,0,1992278016,0,1440153600,1440834560,0,11.94555255822363,92.3
9.58,0.45,0.0,0.0,0.0,1979842560,2024161280,6160384,2818048,0,2009055232,0,1218576384,1219257344,0,12.0710176205491,102.0
9.68,0.45,0.0,0.0,0.0,2000420864,2040938496,6160384,2818048,0,2025832448,0,1222688768,1223369728,0,12.196482682874569,93.5
9.78,0.46,0.0,0.0,0.0,2020999168,2057715712,6160384,2818048,0,2042609664,0,1501884416,1502565376,0,12.321947745200038,101.6
9.88,0.46,0.0,0.0,0.0,2041708544,2074492928,6160384,2818048,0,2059386880,0,1522532352,1523213312,0,12.448211948049872,92.7
9.99,0.46,0.0,0.0,0.0,2062286848,2091270144,6160384,2818048,0,2076164096,0,1235025920,1235706880,0,12.573677010375341,102.9
10.08,0.47,0.0,0.0,0.0,2082996224,2159538176,6160384,2818048,0,2144432128,0,1239257088,1239951360,0,12.699941213225177,93.6
10.18,0.47,0.0,0.0,0.0,2103574528,2176315392,6160384,2818048,0,2161209344,0,1243885568,1244566528,0,12.825406275550646,93.8
10.27,0.49,0.0,0.0,0.0,2124546048,2193092608,6160384,2818048,0,2177986560,0,1293307904,1293981696,0,12.953268759449212,102.8
10.37,0.49,0.0,0.0,0.0,2145517568,2209869824,6160384,2818048,0,2194763776,0,1626152960,1626833920,0,13.08113124334778,91.5
10.47,0.5,0.0,0.0,0.0,2166489088,2226647040,6160384,2818048,0,2211540992,0,1646907392,1647588352,0,13.208993727246346,101.7
10.58,0.5,0.0,0.0,0.0,2187329536,2243424256,6160384,2818048,0,2228318208,0,1356132352,1356806144,0,13.336856211144912,102.5
10.68,0.5,0.0,0.0,0.0,2208301056,2260201472,6160384,2818048,0,2245095424,0,1376989184,1377662976,0,13.463919554519116,92.5
10.78,0.5,0.0,0.0,0.0,2229272576,2276978688,6160384,2818048,0,2261872640,0,1397915648,1398589440,0,13.591782038417682,92.4
10.88,0.51,0.0,0.0,0.0,2250244096,2293755904,6160384,2818048,0,2278649856,0,1419026432,1419700224,0,13.71964452231625,102.4
10.98,0.51,0.0,0.0,0.0,2271215616,2310533120,6160384,2818048,0,2295427072,0,1411334144,1412015104,0,13.847507006214816,92.7
11.09,0.51,0.0,0.0,0.0,2292187136,2327310336,6160384,2818048,0,2312204288,0,1432285184,1432966144,0,13.975369490113382,101.4
11.18,0.52,0.0,0.0,0.0,2313158656,2344087552,6160384,2818048,0,2328981504,0,1481912320,1482586112,0,14.103231974011951,92.9
